trade_id,direction,entry,sl,tp,risk_points,reward_points,rr,entry_bar,entry_bar_time,exit_bar,exit_bar_time,status,exit_reason,exit_price,pnl_points,pnl_dollars,structure_id
T0001,BUY,6518.0,6509.0,6527.0,9.0,9.0,1.0,2929,2025-08-13 04:15:00,2975,2025-08-13 15:45:00,EXPIRED,Distancia: 34,0.0,0.0,0.0,6e0fba54-dd73-4206-a9f1-8c3fc95af83f
T0002,BUY,6521.5,6517.55,6527.75,3.95,6.25,1.58,2981,2025-08-13 17:15:00,3001,2025-08-13 22:15:00,EXPIRED,estructura no existe,0.0,0.0,0.0,fcb7a7bb-2b3b-42fc-821f-9ff5dd308811
T0003,BUY,6536.25,6531.25,6548.5,5.0,12.25,2.45,3069,2025-08-14 16:15:00,3072,2025-08-14 17:00:00,TP_HIT,TP,6548.5,12.25,61.25,4deed286-da39-425c-b447-96108d2a017e
T0004,BUY,6525.25,6522.25,6543.0,3.0,17.75,5.92,3074,2025-08-14 17:30:00,3077,2025-08-14 18:15:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,393dd262-b7dd-4711-b098-09e14dcf2606
T0005,SELL,6531.0,6545.95,6509.75,14.95,21.25,1.42,3077,2025-08-14 18:15:00,3082,2025-08-14 19:30:00,SL_HIT,SL,6545.95,-14.95,-74.75,4490216f-7ee7-411b-a17c-1150dd5172b0
T0006,BUY,6554.75,6544.05,6565.45,10.7,10.7,1.0,3129,2025-08-15 08:15:00,3159,2025-08-15 15:45:00,SL_HIT,SL,6544.05,-10.7,-53.5,a030d3d9-99b6-405c-b8fe-5df699f0396c
T0007,BUY,6523.75,6510.55,6536.95,13.2,13.2,1.0,3345,2025-08-19 16:15:00,3347,2025-08-19 16:45:00,SL_HIT,SL,6510.55,-13.2,-66.0,0628df9c-b4d2-425b-87d7-56b48dbe82cf
T0008,SELL,6444.25,6447.25,6441.25,3.0,3.0,1.0,3441,2025-08-20 17:15:00,3443,2025-08-20 17:45:00,SL_HIT,SL,6447.25,-3.0,-15.0,355e445e-ea2f-4e17-ac2d-e8542aab3f45
T0009,SELL,6444.25,6447.25,6437.5,3.0,6.75,2.25,3453,2025-08-20 20:15:00,3455,2025-08-20 20:45:00,SL_HIT,SL,6447.25,-3.0,-15.0,355e445e-ea2f-4e17-ac2d-e8542aab3f45
T0010,SELL,6437.75,6451.45,6420.5,13.7,17.25,1.26,3593,2025-08-22 09:15:00,3605,2025-08-22 12:15:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,LG_15_20250822_081500_SellSide
T0011,BUY,6528.75,6525.75,6550.25,3.0,21.5,7.17,3658,2025-08-25 02:30:00,3693,2025-08-25 11:15:00,SL_HIT,SL,6525.75,-3.0,-15.0,249da194-123d-428d-a1ef-b563c44369fa
T0012,BUY,6525.25,6522.25,6528.25,3.0,3.0,1.0,3693,2025-08-25 11:15:00,3698,2025-08-25 12:30:00,SL_HIT,SL,6522.25,-3.0,-15.0,2938cc76-560a-4bcf-8b26-7d75374529d7
T0013,BUY,6520.25,6517.25,6544.0,3.0,23.75,7.92,3698,2025-08-25 12:30:00,3736,2025-08-25 22:00:00,SL_HIT,SL,6517.25,-3.0,-15.0,a5178c1c-8bd5-4a47-8d25-7671c4bc1818
T0014,BUY,6511.25,6507.0,6526.25,4.25,15.0,3.53,3736,2025-08-25 22:00:00,3749,2025-08-26 02:15:00,SL_HIT,SL,6507.0,-4.25,-21.25,1633b6dd-61da-41e5-a939-681780345b62
T0015,BUY,6522.0,6509.55,6534.45,12.45,12.45,1.0,3749,2025-08-26 02:15:00,3827,2025-08-26 21:45:00,TP_HIT,TP,6534.45,12.45,62.25,15476d4f-d511-4ec0-8c04-b8a4bb27697f
T0016,BUY,6541.75,6531.75,6551.75,10.0,10.0,1.0,3835,2025-08-27 00:45:00,3894,2025-08-27 15:30:00,SL_HIT,SL,6531.75,-10.0,-50.0,347ee220-a3f3-4eb9-9c13-21bc8e8e2db8
T0017,BUY,6530.75,6526.0,6545.75,4.75,15.0,3.16,3894,2025-08-27 15:30:00,3898,2025-08-27 16:30:00,TP_HIT,TP,6545.75,15.0,75.0,4b8f1fe6-11ee-472d-a58a-b08aa1ebdddb
T0018,BUY,6551.0,6538.55,6563.45,12.45,12.45,1.0,3922,2025-08-27 22:30:00,3959,2025-08-28 08:45:00,EXPIRED,score decayó a 0,0.0,0.0,0.0,7d947879-ade9-4f36-a84d-7d57f2c57e89
T0019,BUY,6563.5,6548.55,6578.45,14.95,14.95,1.0,3993,2025-08-28 17:15:00,4012,2025-08-28 22:00:00,TP_HIT,TP,6578.45,14.95,74.75,LG_60_20250828_160000_BuySide
T0020,BUY,6563.5,6558.55,6568.75,4.95,5.25,1.06,4045,2025-08-29 07:15:00,4057,2025-08-29 10:15:00,SL_HIT,SL,6558.55,-4.95,-24.75,02d1cf22-60de-4f53-8e7f-47e5b2a943fe
T0021,BUY,6549.75,6542.25,6572.0,7.5,22.25,2.97,4066,2025-08-29 12:30:00,4067,2025-08-29 12:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,9bfa5e77-e7d6-4625-ac3a-06f323828d4b
T0022,BUY,6557.25,6545.3,6575.75,11.95,18.5,1.55,4070,2025-08-29 13:30:00,4071,2025-08-29 13:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,8e07bf5d-b4fc-4878-8964-de7ec97dc5cd
T0023,BUY,6566.5,6563.5,6569.5,3.0,3.0,1.0,4077,2025-08-29 15:15:00,4079,2025-08-29 15:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,005b64f2-ee36-4857-b803-3da3b616dd43
T0024,BUY,6504.5,6490.05,6518.95,14.45,14.45,1.0,4324,2025-09-03 12:00:00,4335,2025-09-03 14:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,02dd46ae-1f9d-4c3a-97ef-d7d2a4be247c
T0025,BUY,6515.5,6503.8,6527.2,11.7,11.7,1.0,4337,2025-09-03 15:15:00,4340,2025-09-03 16:00:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,90c181c5-450d-4ee2-9db8-426d0e4039ca
T0026,BUY,6520.75,6509.3,6532.2,11.45,11.45,1.0,4343,2025-09-03 16:45:00,4346,2025-09-03 17:30:00,SL_HIT,SL,6509.3,-11.45,-57.25,7cf2e553-1bc4-42da-8a73-bf40bf152bd8
T0027,BUY,6521.0,6509.3,6532.7,11.7,11.7,1.0,4369,2025-09-04 00:15:00,4435,2025-09-04 16:45:00,TP_HIT,TP,6532.7,11.7,58.5,614742cf-9a02-4a93-86dd-6f8164e1f520
T0028,BUY,6533.25,6521.8,6544.7,11.45,11.45,1.0,4438,2025-09-04 17:30:00,4458,2025-09-04 22:30:00,EXPIRED,score decayó a 0,0.0,0.0,0.0,a8372e68-ecec-4b3d-a1c3-54c7c27f5974
T0029,BUY,6576.75,6566.0,6587.5,10.75,10.75,1.0,4479,2025-09-05 04:45:00,4494,2025-09-05 08:30:00,TP_HIT,TP,6587.5,10.75,53.75,LG_15_20250905_044500_BuySide
T0030,BUY,6584.0,6571.05,6596.95,12.95,12.95,1.0,4495,2025-09-05 08:45:00,4518,2025-09-05 14:30:00,SL_HIT,SL,6571.05,-12.95,-64.75,043d5b77-800d-42e2-b52f-cb4948264748
