trade_id,direction,entry,sl,tp,risk_points,reward_points,rr,entry_bar,entry_bar_time,exit_bar,exit_bar_time,status,exit_reason,exit_price,pnl_points,pnl_dollars,structure_id
T0001,SELL,6535.5,6542.75,6528.25,7.25,7.25,1.0,18506,2025-08-18 02:45:00,18529,2025-08-18 08:30:00,TP_HIT,TP,6528.25,7.25,36.25,e6aa406f-04cb-4f6d-bd9e-0c516a4703d0
T0002,SELL,6532.0,6539.75,6512.5,7.75,19.5,2.52,18588,2025-08-19 00:15:00,18617,2025-08-19 07:30:00,TP_HIT,TP,6512.5,19.5,97.5,LG_15_20250819_001500_BuySide
T0003,BUY,6523.75,6510.55,6536.95,13.2,13.2,1.0,18652,2025-08-19 16:15:00,18654,2025-08-19 16:45:00,SL_HIT,SL,6510.55,-13.2,-66.0,718a15d1-a432-4de7-bb18-3d51749c24f8
T0004,SELL,6444.25,6447.25,6441.25,3.0,3.0,1.0,18748,2025-08-20 17:15:00,18750,2025-08-20 17:45:00,SL_HIT,SL,6447.25,-3.0,-15.0,42e2f89a-d1fa-47c4-8812-1ac119c357e5
T0005,SELL,6444.25,6447.25,6437.5,3.0,6.75,2.25,18760,2025-08-20 20:15:00,18762,2025-08-20 20:45:00,SL_HIT,SL,6447.25,-3.0,-15.0,42e2f89a-d1fa-47c4-8812-1ac119c357e5
T0006,BUY,6460.0,6454.55,6465.45,5.45,5.45,1.0,18921,2025-08-22 14:30:00,18926,2025-08-22 15:45:00,TP_HIT,TP,6465.45,5.45,27.25,925d3f2c-1c84-49b7-9cbe-d4bfe9a83f32
T0007,BUY,6535.0,6530.3,6539.7,4.7,4.7,1.0,18975,2025-08-25 05:00:00,18991,2025-08-25 09:00:00,SL_HIT,SL,6530.3,-4.7,-23.5,3c36361d-2f1a-4f9d-aa4f-64df93c10d79
T0008,BUY,6536.25,6527.8,6552.0,8.45,15.75,1.86,18991,2025-08-25 09:00:00,19034,2025-08-25 19:45:00,SL_HIT,SL,6527.8,-8.45,-42.25,85a1f6bc-5e39-49d4-a9ab-ef5d81c69187
T0009,BUY,6521.25,6517.3,6532.75,3.95,11.5,2.91,19034,2025-08-25 19:45:00,19044,2025-08-25 22:15:00,SL_HIT,SL,6517.3,-3.95,-19.75,d6765d46-24c9-43f5-8eab-4b298e1fc62c
T0010,BUY,6510.0,6507.0,6513.0,3.0,3.0,1.0,19044,2025-08-25 22:15:00,19057,2025-08-26 02:30:00,TP_HIT,TP,6513.0,3.0,15.0,efb0b967-2bc2-4553-905d-c6514c0ab30c
T0011,BUY,6508.0,6504.5,6527.0,3.5,19.0,5.43,19057,2025-08-26 02:30:00,19058,2025-08-26 02:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,4b753293-034b-4f00-976f-e95399063292
T0012,BUY,6518.0,6509.55,6526.45,8.45,8.45,1.0,19076,2025-08-26 07:15:00,19116,2025-08-26 17:15:00,SL_HIT,SL,6509.55,-8.45,-42.25,069d2fa3-cde6-4d27-950e-3faa8c3e8bbd
T0013,BUY,6532.75,6529.75,6535.75,3.0,3.0,1.0,19130,2025-08-26 20:45:00,19134,2025-08-26 21:45:00,SL_HIT,SL,6529.75,-3.0,-15.0,c86cc4f5-83de-46cb-a65f-a04a1e5bb525
T0014,BUY,6541.75,6531.75,6551.75,10.0,10.0,1.0,19142,2025-08-27 00:45:00,19201,2025-08-27 15:30:00,SL_HIT,SL,6531.75,-10.0,-50.0,0ea8fdb8-268a-4b73-b122-26d660307941
T0015,BUY,6530.75,6526.0,6545.75,4.75,15.0,3.16,19201,2025-08-27 15:30:00,19205,2025-08-27 16:30:00,TP_HIT,TP,6545.75,15.0,75.0,5713a250-5185-45eb-a180-3a0c29ca0b31
T0016,BUY,6551.0,6538.55,6563.45,12.45,12.45,1.0,19229,2025-08-27 22:30:00,19266,2025-08-28 08:45:00,EXPIRED,score decayó a 0,0.0,0.0,0.0,3bbc6183-0266-4cd2-a194-f3c0cc8626b9
T0017,BUY,6546.0,6537.3,6560.0,8.7,14.0,1.61,19298,2025-08-28 16:45:00,19304,2025-08-28 18:15:00,TP_HIT,TP,6560.0,14.0,70.0,4ddce22b-1248-4de7-a5c7-50ebd9a98415
T0018,BUY,6563.5,6548.55,6578.45,14.95,14.95,1.0,19305,2025-08-28 18:30:00,19319,2025-08-28 22:00:00,TP_HIT,TP,6578.45,14.95,74.75,LG_60_20250828_160000_BuySide
T0019,BUY,6563.5,6558.55,6568.75,4.95,5.25,1.06,19352,2025-08-29 07:15:00,19364,2025-08-29 10:15:00,SL_HIT,SL,6558.55,-4.95,-24.75,ec05e601-b126-4b99-aac4-656ef1e994c5
T0020,BUY,6562.5,6558.55,6568.25,3.95,5.75,1.46,19365,2025-08-29 10:30:00,19367,2025-08-29 11:00:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,37e49823-ac3b-4339-a400-83f4f1f87560
T0021,BUY,6557.0,6545.3,6572.0,11.7,15.0,1.28,19373,2025-08-29 12:30:00,19374,2025-08-29 12:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,886f0469-886f-46c2-9973-7c3995818169
T0022,BUY,6549.75,6542.25,6572.0,7.5,22.25,2.97,19376,2025-08-29 13:15:00,19378,2025-08-29 13:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,9ec95784-60cc-47e3-9def-c8449d3f659a
T0023,BUY,6566.5,6563.5,6569.5,3.0,3.0,1.0,19383,2025-08-29 15:00:00,19386,2025-08-29 15:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,bd87b208-ab55-4730-a8c4-bf83d8f212b1
T0024,BUY,6504.5,6490.05,6518.95,14.45,14.45,1.0,19631,2025-09-03 12:00:00,19642,2025-09-03 14:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,787e8b8e-ebdd-4706-95c1-6d7a579d7a2f
T0025,BUY,6506.5,6500.8,6514.5,5.7,8.0,1.4,19644,2025-09-03 15:15:00,19647,2025-09-03 16:00:00,SL_HIT,SL,6500.8,-5.7,-28.5,2db3d902-0ed0-4b4e-8798-8e7a4a1e3ea3
T0026,BUY,6520.75,6509.3,6532.2,11.45,11.45,1.0,19650,2025-09-03 16:45:00,19653,2025-09-03 17:30:00,SL_HIT,SL,6509.3,-11.45,-57.25,97698ab5-e4d4-4493-9ede-99a3c77f99df
