trade_id,direction,entry,sl,tp,risk_points,reward_points,rr,entry_bar,exit_bar,status,exit_reason,exit_price,pnl_points,pnl_dollars,structure_id
T0001,SELL,6563.0,6566.0,6554.75,3.0,8.25,2.75,3129,3140,TP_HIT,TP,6554.75,8.25,41.25,c3b7e277-340f-4fa3-83af-e78751c14a06
T0002,SELL,6557.25,6565.95,6538.75,8.7,18.5,2.13,3914,N/A,PENDING,N/A,0.0,0.0,0.0,2090fd14-f407-4fea-aea4-830bd8a6e89c
T0003,SELL,6551.39,6554.39,6529.0,3.0,22.39,7.46,3918,3920,SL_HIT,SL,6554.39,-3.0,-15.0,09190d73-30b1-4043-b483-e97ead8d5459
T0004,SELL,6565.25,6568.25,6558.75,3.0,6.5,2.17,4034,4037,SL_HIT,SL,6568.25,-3.0,-15.0,f3b6b7a2-10aa-49d8-bbaa-eca9fc960de0
T0005,SELL,6565.25,6568.25,6558.75,3.0,6.5,2.17,4044,4045,EXPIRED,score decayó a 0,0.0,0.0,0.0,f3b6b7a2-10aa-49d8-bbaa-eca9fc960de0
T0006,SELL,6521.0,6525.45,6516.0,4.45,5.0,1.12,4428,4431,SL_HIT,SL,6525.45,-4.45,-22.25,35df42fb-8a93-4391-b898-069170721857
T0007,SELL,6581.25,6584.25,6576.5,3.0,4.75,1.58,4497,4503,SL_HIT,SL,6584.25,-3.0,-15.0,e69812b8-7691-454d-b35a-2f2211fa8758
T0008,SELL,6581.25,6584.25,6576.5,3.0,4.75,1.58,4503,4516,TP_HIT,TP,6576.5,4.75,23.75,e69812b8-7691-454d-b35a-2f2211fa8758
T0009,SELL,6557.0,6565.95,6537.5,8.95,19.5,2.18,4589,4619,SL_HIT,SL,6565.95,-8.95,-44.75,7054b346-87ec-490f-a24e-852121c897cb
T0010,SELL,6565.0,6568.0,6546.75,3.0,18.25,6.08,4705,4706,EXPIRED,score decayó a 0,0.0,0.0,0.0,38014bd1-fa96-4ffc-8d62-d818bc5524a1
T0011,SELL,6594.0,6598.7,6569.5,4.7,24.5,5.21,4756,4773,SL_HIT,SL,6598.7,-4.7,-23.5,d3beb485-d097-4890-9dac-e85b8ed3b454
T0012,SELL,6597.75,6600.75,6586.0,3.0,11.75,3.92,4814,N/A,PENDING,N/A,0.0,0.0,0.0,2f2a881d-fccf-42be-b5ea-3a1e74cbcb13
T0013,SELL,6592.75,6598.7,6565.0,5.95,27.75,4.66,4817,4818,EXPIRED,score decayó a 0,0.0,0.0,0.0,e8d2590c-d427-4801-9b5b-c386b149e62e
T0014,SELL,6593.0,6598.7,6579.25,5.7,13.75,2.41,4857,4858,EXPIRED,score decayó a 0,0.0,0.0,0.0,4b6e9a2f-8112-4ae4-9179-7a8eb5bbb985
T0015,SELL,6658.5,6662.7,6639.75,4.2,18.75,4.46,5065,5070,SL_HIT,SL,6662.7,-4.2,-21.0,6c1aa989-c4e8-4b74-81af-a87d5e04f308
T0016,SELL,6718.0,6721.0,6688.25,3.0,29.75,9.92,5332,5349,TP_HIT,TP,6688.25,29.75,148.75,16482b0f-7eb8-4d94-8f4d-ce28985d450a
T0017,SELL,6754.25,6757.25,6743.0,3.0,11.25,3.75,6205,6207,SL_HIT,SL,6757.25,-3.0,-15.0,f60d04cd-b557-4f0e-803d-3ecc3d04dbb0
T0018,SELL,6774.75,6782.45,6767.0,7.7,7.75,1.01,6315,6329,SL_HIT,SL,6782.45,-7.7,-38.5,3e976d7b-fa15-4120-bd13-8d925031337c
T0019,SELL,6780.0,6783.0,6773.5,3.0,6.5,2.17,6460,N/A,PENDING,N/A,0.0,0.0,0.0,769b0567-556b-4795-82fa-fd34a865f657
T0020,SELL,6779.75,6782.75,6763.75,3.0,16.0,5.33,6461,6462,SL_HIT,SL,6783.0,-3.0,-15.0,345f2360-3baa-40e9-80e3-559e8f9df326
T0021,SELL,6770.25,6782.45,6754.0,12.2,16.25,1.33,6620,6641,SL_HIT,SL,6782.45,-12.2,-61.0,883231a0-03e8-4066-af8e-10dc8274c146
T0022,SELL,6807.0,6810.0,6774.0,3.0,33.0,11.0,6667,6669,CANCELLED,BOS contradictorio,0.0,0.0,0.0,da3a5aa9-9bcb-4b87-898b-aa11994646af
T0023,SELL,6778.25,6782.45,6769.0,4.2,9.25,2.2,6742,6744,TP_HIT,TP,6769.0,9.25,46.25,7016dd60-395d-4acd-b93b-548f47effebe
