trade_id,direction,entry,sl,tp,risk_points,reward_points,rr,entry_bar,exit_bar,status,exit_reason,exit_price,pnl_points,pnl_dollars,structure_id
T0001,SELL,6563.0,6566.0,6554.75,3.0,8.25,2.75,3129,3140,TP_HIT,TP,6554.75,8.25,41.25,b85a00cd-0263-4d22-9772-c9f40e028d94
T0002,SELL,6557.25,6565.95,6538.75,8.7,18.5,2.13,3915,3922,TP_HIT,TP,6538.75,18.5,92.5,3e7db50e-e38a-4a2b-a027-cfe1c131db3b
T0003,SELL,6565.25,6568.25,6558.75,3.0,6.5,2.17,4034,4037,SL_HIT,SL,6568.25,-3.0,-15.0,b60d55eb-8451-4a8c-9d43-96c9991678c7
T0004,SELL,6565.25,6568.25,6558.75,3.0,6.5,2.17,4044,4045,EXPIRED,score decayó a 0,0.0,0.0,0.0,b60d55eb-8451-4a8c-9d43-96c9991678c7
T0005,SELL,6521.0,6525.45,6516.0,4.45,5.0,1.12,4428,4431,SL_HIT,SL,6525.45,-4.45,-22.25,a6ee1fe3-16c5-4ffc-934e-def905180922
T0006,SELL,6581.25,6584.25,6576.5,3.0,4.75,1.58,4497,4503,SL_HIT,SL,6584.25,-3.0,-15.0,464238be-c6c3-4dc2-a978-2d999939cd01
T0007,SELL,6581.25,6584.25,6576.5,3.0,4.75,1.58,4503,4516,TP_HIT,TP,6576.5,4.75,23.75,464238be-c6c3-4dc2-a978-2d999939cd01
T0008,SELL,6565.0,6568.0,6546.75,3.0,18.25,6.08,4708,4709,CANCELLED,BOS contradictorio,0.0,0.0,0.0,b35c9f38-7a82-4a88-a46e-cb302e66e1f5
T0009,SELL,6594.0,6598.7,6569.5,4.7,24.5,5.21,4757,4773,SL_HIT,SL,6598.7,-4.7,-23.5,0918f201-ac8d-46b0-ade9-18aa3f53475e
T0010,SELL,6597.75,6600.75,6586.0,3.0,11.75,3.92,4815,N/A,PENDING,N/A,0.0,0.0,0.0,5dabf818-a1b7-4ad5-85da-8ddda65cf0ef
T0011,SELL,6592.75,6598.7,6565.0,5.95,27.75,4.66,4820,4821,TP_HIT,TP,6586.0,11.75,58.75,8fa87b32-d46c-432a-82c3-d7e92c871ce6
T0012,SELL,6718.0,6721.0,6688.25,3.0,29.75,9.92,5332,5349,TP_HIT,TP,6688.25,29.75,148.75,725222b9-ba69-4b55-acc6-eab9e73ced51
T0013,SELL,6754.25,6757.25,6743.0,3.0,11.25,3.75,6205,6207,SL_HIT,SL,6757.25,-3.0,-15.0,4bd233bc-ae10-4176-ac0e-87b6f1cde555
T0014,SELL,6774.75,6782.45,6767.0,7.7,7.75,1.01,6315,6329,SL_HIT,SL,6782.45,-7.7,-38.5,ddabfa75-900b-410c-8180-4927ed4ed749
T0015,SELL,6780.0,6783.0,6773.5,3.0,6.5,2.17,6460,6462,SL_HIT,SL,6783.0,-3.0,-15.0,b23ad7f5-ba79-4fb2-afea-7268f74b26c2
T0016,SELL,6770.25,6782.45,6754.0,12.2,16.25,1.33,6620,6641,SL_HIT,SL,6782.45,-12.2,-61.0,2baace45-1c9e-494f-891f-a0e372fba900
T0017,SELL,6807.0,6810.0,6774.0,3.0,33.0,11.0,6667,6669,CANCELLED,BOS contradictorio,0.0,0.0,0.0,2ddf6ce8-e6a5-491a-ae90-6879313499ef
T0018,SELL,6778.25,6782.45,6769.0,4.2,9.25,2.2,6742,6744,TP_HIT,TP,6769.0,9.25,46.25,fddc7e1c-a7e9-4f7b-aedf-5ced73699f96
